time_us,event,node_id,packet_id,details_json
47582500,tx_start,2,14752,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47583816,packet_delivered,2,14752,"{""kind"": ""voice"", ""latency_us"": 1318}"
47585000,voice_frame_generated,3,14753,"{""sequence"": 2379}"
47585000,queue_depth,3,,"{""depth"": 1}"
47585000,tx_start,3,14753,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47586316,packet_delivered,3,14753,"{""kind"": ""voice"", ""latency_us"": 1318}"
47587500,voice_frame_generated,4,14754,"{""sequence"": 2379}"
47587500,queue_depth,4,,"{""depth"": 1}"
47587500,tx_start,4,14754,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47588816,packet_delivered,4,14754,"{""kind"": ""voice"", ""latency_us"": 1318}"
47590000,voice_frame_generated,5,14755,"{""sequence"": 2379}"
47590000,queue_depth,5,,"{""depth"": 1}"
47590000,tx_start,5,14755,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47591316,packet_delivered,5,14755,"{""kind"": ""voice"", ""latency_us"": 1318}"
47592500,voice_frame_generated,6,14756,"{""sequence"": 2379}"
47592500,queue_depth,6,,"{""depth"": 1}"
47592500,tx_start,6,14756,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47593816,packet_delivered,6,14756,"{""kind"": ""voice"", ""latency_us"": 1318}"
47600000,voice_frame_generated,1,14757,"{""sequence"": 2380}"
47600000,queue_depth,1,,"{""depth"": 1}"
47600000,tx_start,1,14757,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47601316,packet_delivered,1,14757,"{""kind"": ""voice"", ""latency_us"": 1318}"
47602500,voice_frame_generated,2,14758,"{""sequence"": 2380}"
47602500,queue_depth,2,,"{""depth"": 1}"
47602500,tx_start,2,14758,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47603816,packet_delivered,2,14758,"{""kind"": ""voice"", ""latency_us"": 1318}"
47605000,voice_frame_generated,3,14759,"{""sequence"": 2380}"
47605000,queue_depth,3,,"{""depth"": 1}"
47605000,tx_start,3,14759,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47606316,packet_delivered,3,14759,"{""kind"": ""voice"", ""latency_us"": 1318}"
47607500,voice_frame_generated,4,14760,"{""sequence"": 2380}"
47607500,queue_depth,4,,"{""depth"": 1}"
47607500,tx_start,4,14760,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47608816,packet_delivered,4,14760,"{""kind"": ""voice"", ""latency_us"": 1318}"
47610000,voice_frame_generated,5,14761,"{""sequence"": 2380}"
47610000,queue_depth,5,,"{""depth"": 1}"
47610000,tx_start,5,14761,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47611316,packet_delivered,5,14761,"{""kind"": ""voice"", ""latency_us"": 1318}"
47612500,voice_frame_generated,6,14762,"{""sequence"": 2380}"
47612500,queue_depth,6,,"{""depth"": 1}"
47612500,tx_start,6,14762,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47613816,packet_delivered,6,14762,"{""kind"": ""voice"", ""latency_us"": 1318}"
47616000,tx_start,1,14763,"{""airtime_us"": 484, ""kind"": ""heartbeat""}"
47616484,packet_delivered,1,14763,"{""kind"": ""heartbeat"", ""latency_us"": 486}"
47616484,heartbeat_received,1,14763,{}
47620000,voice_frame_generated,1,14764,"{""sequence"": 2381}"
47620000,queue_depth,1,,"{""depth"": 1}"
47620000,tx_start,1,14764,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47621316,packet_delivered,1,14764,"{""kind"": ""voice"", ""latency_us"": 1318}"
47622500,voice_frame_generated,2,14765,"{""sequence"": 2381}"
47622500,queue_depth,2,,"{""depth"": 1}"
47622500,tx_start,2,14765,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47623816,packet_delivered,2,14765,"{""kind"": ""voice"", ""latency_us"": 1318}"
47625000,voice_frame_generated,3,14766,"{""sequence"": 2381}"
47625000,queue_depth,3,,"{""depth"": 1}"
47625000,tx_start,3,14766,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47626316,packet_delivered,3,14766,"{""kind"": ""voice"", ""latency_us"": 1318}"
47627500,voice_frame_generated,4,14767,"{""sequence"": 2381}"
47627500,queue_depth,4,,"{""depth"": 1}"
47627500,tx_start,4,14767,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47628816,packet_delivered,4,14767,"{""kind"": ""voice"", ""latency_us"": 1318}"
47630000,voice_frame_generated,5,14768,"{""sequence"": 2381}"
47630000,queue_depth,5,,"{""depth"": 1}"
47630000,tx_start,5,14768,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47631316,packet_delivered,5,14768,"{""kind"": ""voice"", ""latency_us"": 1318}"
47632500,voice_frame_generated,6,14769,"{""sequence"": 2381}"
47632500,queue_depth,6,,"{""depth"": 1}"
47632500,tx_start,6,14769,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47633816,packet_delivered,6,14769,"{""kind"": ""voice"", ""latency_us"": 1318}"
47640000,voice_frame_generated,1,14770,"{""sequence"": 2382}"
47640000,queue_depth,1,,"{""depth"": 1}"
47640000,tx_start,1,14770,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47641316,packet_delivered,1,14770,"{""kind"": ""voice"", ""latency_us"": 1318}"
47642500,voice_frame_generated,2,14771,"{""sequence"": 2382}"
47642500,queue_depth,2,,"{""depth"": 1}"
47642500,tx_start,2,14771,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47643816,packet_delivered,2,14771,"{""kind"": ""voice"", ""latency_us"": 1318}"
47645000,voice_frame_generated,3,14772,"{""sequence"": 2382}"
47645000,queue_depth,3,,"{""depth"": 1}"
47645000,tx_start,3,14772,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47646316,packet_delivered,3,14772,"{""kind"": ""voice"", ""latency_us"": 1318}"
47647500,voice_frame_generated,4,14773,"{""sequence"": 2382}"
47647500,queue_depth,4,,"{""depth"": 1}"
47647500,tx_start,4,14773,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47648816,packet_delivered,4,14773,"{""kind"": ""voice"", ""latency_us"": 1318}"
47650000,voice_frame_generated,5,14774,"{""sequence"": 2382}"
47650000,queue_depth,5,,"{""depth"": 1}"
47650000,tx_start,5,14774,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47651316,packet_delivered,5,14774,"{""kind"": ""voice"", ""latency_us"": 1318}"
47652500,voice_frame_generated,6,14775,"{""sequence"": 2382}"
47652500,queue_depth,6,,"{""depth"": 1}"
47652500,tx_start,6,14775,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47653816,packet_delivered,6,14775,"{""kind"": ""voice"", ""latency_us"": 1318}"
47660000,voice_frame_generated,1,14776,"{""sequence"": 2383}"
47660000,queue_depth,1,,"{""depth"": 1}"
47660000,tx_start,1,14776,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47661316,packet_delivered,1,14776,"{""kind"": ""voice"", ""latency_us"": 1318}"
47662500,voice_frame_generated,2,14777,"{""sequence"": 2383}"
47662500,queue_depth,2,,"{""depth"": 1}"
47662500,tx_start,2,14777,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47663816,packet_delivered,2,14777,"{""kind"": ""voice"", ""latency_us"": 1318}"
47665000,voice_frame_generated,3,14778,"{""sequence"": 2383}"
47665000,queue_depth,3,,"{""depth"": 1}"
47665000,tx_start,3,14778,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47666316,packet_delivered,3,14778,"{""kind"": ""voice"", ""latency_us"": 1318}"
47667500,voice_frame_generated,4,14779,"{""sequence"": 2383}"
47667500,queue_depth,4,,"{""depth"": 1}"
47667500,tx_start,4,14779,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47668816,packet_delivered,4,14779,"{""kind"": ""voice"", ""latency_us"": 1318}"
47670000,voice_frame_generated,5,14780,"{""sequence"": 2383}"
47670000,queue_depth,5,,"{""depth"": 1}"
47670000,tx_start,5,14780,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47671316,packet_delivered,5,14780,"{""kind"": ""voice"", ""latency_us"": 1318}"
47672500,voice_frame_generated,6,14781,"{""sequence"": 2383}"
47672500,queue_depth,6,,"{""depth"": 1}"
47672500,tx_start,6,14781,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47673816,packet_delivered,6,14781,"{""kind"": ""voice"", ""latency_us"": 1318}"
47680000,voice_frame_generated,1,14782,"{""sequence"": 2384}"
47680000,queue_depth,1,,"{""depth"": 1}"
47680000,tx_start,1,14782,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47681316,packet_delivered,1,14782,"{""kind"": ""voice"", ""latency_us"": 1318}"
47682500,voice_frame_generated,2,14783,"{""sequence"": 2384}"
47682500,queue_depth,2,,"{""depth"": 1}"
47682500,tx_start,2,14783,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47683816,packet_delivered,2,14783,"{""kind"": ""voice"", ""latency_us"": 1318}"
47685000,voice_frame_generated,3,14784,"{""sequence"": 2384}"
47685000,queue_depth,3,,"{""depth"": 1}"
47685000,tx_start,3,14784,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47686316,packet_delivered,3,14784,"{""kind"": ""voice"", ""latency_us"": 1318}"
47687500,voice_frame_generated,4,14785,"{""sequence"": 2384}"
47687500,queue_depth,4,,"{""depth"": 1}"
47687500,tx_start,4,14785,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47688816,packet_delivered,4,14785,"{""kind"": ""voice"", ""latency_us"": 1318}"
47690000,voice_frame_generated,5,14786,"{""sequence"": 2384}"
47690000,queue_depth,5,,"{""depth"": 1}"
47690000,tx_start,5,14786,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47691316,packet_delivered,5,14786,"{""kind"": ""voice"", ""latency_us"": 1318}"
47692500,voice_frame_generated,6,14787,"{""sequence"": 2384}"
47692500,queue_depth,6,,"{""depth"": 1}"
47692500,tx_start,6,14787,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47693816,packet_delivered,6,14787,"{""kind"": ""voice"", ""latency_us"": 1318}"
47700000,voice_frame_generated,1,14788,"{""sequence"": 2385}"
47700000,queue_depth,1,,"{""depth"": 1}"
47700000,tx_start,1,14788,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47701316,packet_delivered,1,14788,"{""kind"": ""voice"", ""latency_us"": 1318}"
47702500,voice_frame_generated,2,14789,"{""sequence"": 2385}"
47702500,queue_depth,2,,"{""depth"": 1}"
47702500,tx_start,2,14789,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47703816,packet_delivered,2,14789,"{""kind"": ""voice"", ""latency_us"": 1318}"
47705000,voice_frame_generated,3,14790,"{""sequence"": 2385}"
47705000,queue_depth,3,,"{""depth"": 1}"
47705000,tx_start,3,14790,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47706316,packet_delivered,3,14790,"{""kind"": ""voice"", ""latency_us"": 1318}"
47707500,voice_frame_generated,4,14791,"{""sequence"": 2385}"
47707500,queue_depth,4,,"{""depth"": 1}"
47707500,tx_start,4,14791,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47708816,packet_delivered,4,14791,"{""kind"": ""voice"", ""latency_us"": 1318}"
47710000,voice_frame_generated,5,14792,"{""sequence"": 2385}"
47710000,queue_depth,5,,"{""depth"": 1}"
47710000,tx_start,5,14792,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47711316,packet_delivered,5,14792,"{""kind"": ""voice"", ""latency_us"": 1318}"
47712500,voice_frame_generated,6,14793,"{""sequence"": 2385}"
47712500,queue_depth,6,,"{""depth"": 1}"
47712500,tx_start,6,14793,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47713816,packet_delivered,6,14793,"{""kind"": ""voice"", ""latency_us"": 1318}"
47716000,tx_start,1,14794,"{""airtime_us"": 484, ""kind"": ""heartbeat""}"
47716484,packet_delivered,1,14794,"{""kind"": ""heartbeat"", ""latency_us"": 486}"
47716484,heartbeat_received,1,14794,{}
47720000,voice_frame_generated,1,14795,"{""sequence"": 2386}"
47720000,queue_depth,1,,"{""depth"": 1}"
47720000,tx_start,1,14795,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47721316,packet_delivered,1,14795,"{""kind"": ""voice"", ""latency_us"": 1318}"
47722500,voice_frame_generated,2,14796,"{""sequence"": 2386}"
47722500,queue_depth,2,,"{""depth"": 1}"
47722500,tx_start,2,14796,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47723816,packet_delivered,2,14796,"{""kind"": ""voice"", ""latency_us"": 1318}"
47725000,voice_frame_generated,3,14797,"{""sequence"": 2386}"
47725000,queue_depth,3,,"{""depth"": 1}"
47725000,tx_start,3,14797,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47726316,packet_delivered,3,14797,"{""kind"": ""voice"", ""latency_us"": 1318}"
47727500,voice_frame_generated,4,14798,"{""sequence"": 2386}"
47727500,queue_depth,4,,"{""depth"": 1}"
47727500,tx_start,4,14798,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47728816,packet_delivered,4,14798,"{""kind"": ""voice"", ""latency_us"": 1318}"
47730000,voice_frame_generated,5,14799,"{""sequence"": 2386}"
47730000,queue_depth,5,,"{""depth"": 1}"
47730000,tx_start,5,14799,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47731316,packet_delivered,5,14799,"{""kind"": ""voice"", ""latency_us"": 1318}"
47732500,voice_frame_generated,6,14800,"{""sequence"": 2386}"
47732500,queue_depth,6,,"{""depth"": 1}"
47732500,tx_start,6,14800,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47733816,packet_delivered,6,14800,"{""kind"": ""voice"", ""latency_us"": 1318}"
47740000,voice_frame_generated,1,14801,"{""sequence"": 2387}"
47740000,queue_depth,1,,"{""depth"": 1}"
47740000,tx_start,1,14801,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47741316,packet_delivered,1,14801,"{""kind"": ""voice"", ""latency_us"": 1318}"
47742500,voice_frame_generated,2,14802,"{""sequence"": 2387}"
47742500,queue_depth,2,,"{""depth"": 1}"
47742500,tx_start,2,14802,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47743816,packet_delivered,2,14802,"{""kind"": ""voice"", ""latency_us"": 1318}"
47745000,voice_frame_generated,3,14803,"{""sequence"": 2387}"
47745000,queue_depth,3,,"{""depth"": 1}"
47745000,tx_start,3,14803,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47746316,packet_delivered,3,14803,"{""kind"": ""voice"", ""latency_us"": 1318}"
47747500,voice_frame_generated,4,14804,"{""sequence"": 2387}"
47747500,queue_depth,4,,"{""depth"": 1}"
47747500,tx_start,4,14804,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47748816,packet_delivered,4,14804,"{""kind"": ""voice"", ""latency_us"": 1318}"
47750000,voice_frame_generated,5,14805,"{""sequence"": 2387}"
47750000,queue_depth,5,,"{""depth"": 1}"
47750000,tx_start,5,14805,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47751316,packet_delivered,5,14805,"{""kind"": ""voice"", ""latency_us"": 1318}"
47752500,voice_frame_generated,6,14806,"{""sequence"": 2387}"
47752500,queue_depth,6,,"{""depth"": 1}"
47752500,tx_start,6,14806,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47753816,packet_delivered,6,14806,"{""kind"": ""voice"", ""latency_us"": 1318}"
47760000,voice_frame_generated,1,14807,"{""sequence"": 2388}"
47760000,queue_depth,1,,"{""depth"": 1}"
47760000,tx_start,1,14807,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47761316,packet_delivered,1,14807,"{""kind"": ""voice"", ""latency_us"": 1318}"
47762500,voice_frame_generated,2,14808,"{""sequence"": 2388}"
47762500,queue_depth,2,,"{""depth"": 1}"
47762500,tx_start,2,14808,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47763816,packet_delivered,2,14808,"{""kind"": ""voice"", ""latency_us"": 1318}"
47765000,voice_frame_generated,3,14809,"{""sequence"": 2388}"
47765000,queue_depth,3,,"{""depth"": 1}"
